ip_address,request_type,attack_type,packet_rate,response_time,connection_duration,protocol_type,packet_variance,burst_rate,label
192.168.103.180,TCP,SYN,9759,2.366696001396134,6,UDP,3205,86,1
192.168.93.15,POST,SYN,2747,1.0147395696039418,67,TCP,4211,39,1
192.168.107.72,UDP,SYN,1107,4.218800603394567,27,TCP,4776,55,1
192.168.189.21,UDP,SYN,5257,4.215550826878748,45,ICMP,4177,97,1
192.168.103.122,UDP,SYN,2842,1.2581856614579072,106,TCP,1986,94,1
192.168.211.215,TCP,SYN,470,1.6595972502706944,26,TCP,2655,55,1
192.168.75.203,POST,SYN,2864,3.542141143855726,4,UDP,4817,70,1
192.168.88.117,UDP,SYN,2890,3.717503024720109,37,TCP,4032,63,1
192.168.100.104,UDP,SYN,1081,3.322394850360432,21,ICMP,4168,77,1
192.168.152.131,UDP,SYN,7689,4.98380372387819,115,UDP,2030,19,1
192.168.150.53,UDP,SYN,1541,4.356547738727048,28,ICMP,474,58,1
192.168.2.88,GET,SYN,5025,2.1435885156873606,82,TCP,171,26,1
192.168.236.158,POST,SYN,4997,1.70218593555523,32,ICMP,2088,81,1
192.168.38.130,POST,SYN,559,3.024563765180795,103,ICMP,3245,91,1
192.168.192.188,TCP,SYN,1909,4.106418045584169,53,UDP,2472,88,1
192.168.21.161,GET,SYN,5111,2.4291830213091092,33,TCP,1246,47,1
192.168.204.58,TCP,SYN,1908,3.714693773475034,26,UDP,798,14,1
192.168.22.253,UDP,SYN,9155,0.19388419357960773,17,TCP,3747,3,1
192.168.236.89,TCP,SYN,5657,4.63661653066071,56,UDP,2498,69,1
192.168.49.219,UDP,SYN,2115,3.8917901648257174,116,TCP,4741,14,1
192.168.59.170,UDP,SYN,3016,2.0315314251442516,93,UDP,322,8,1
192.168.220.188,POST,SYN,6823,1.9816603950445315,84,TCP,3935,89,1
192.168.208.15,POST,SYN,7942,0.6041453579676762,30,UDP,3896,15,1
192.168.190.190,POST,SYN,9838,4.09915324702439,114,ICMP,1069,45,1
192.168.175.190,POST,SYN,4492,3.866284595360204,5,UDP,324,45,1
192.168.51.108,POST,SYN,9297,3.18822356692452,118,ICMP,3333,3,1
192.168.55.244,GET,SYN,9265,0.5971367135057692,6,UDP,2668,11,1
192.168.64.249,POST,SYN,3254,1.385472691621647,106,ICMP,2095,9,1
192.168.131.229,TCP,SYN,625,2.34868091899663,62,TCP,645,4,1
192.168.51.135,UDP,SYN,248,1.4032625244447072,115,ICMP,3845,79,1
192.168.21.73,POST,SYN,7473,2.226472223449228,10,TCP,1712,91,1
192.168.167.18,GET,SYN,1415,1.2071919491244962,70,ICMP,2681,95,1
192.168.132.89,TCP,SYN,7884,1.8130424686494822,10,TCP,841,50,1
192.168.60.14,TCP,SYN,2048,3.2962547296234757,106,ICMP,303,80,1
192.168.242.250,UDP,SYN,5400,4.472569295820506,85,UDP,3262,96,1
192.168.9.90,TCP,SYN,6494,1.986650338040844,44,TCP,4868,98,1
192.168.53.130,TCP,SYN,1066,3.490350332687712,56,TCP,3761,6,1
192.168.84.92,TCP,SYN,3668,0.7604861232743495,4,ICMP,2625,44,1
192.168.111.188,TCP,SYN,75,2.7500080914932314,13,UDP,4960,5,1
192.168.199.172,GET,SYN,9800,4.616350705217116,74,TCP,336,57,1
192.168.253.8,UDP,SYN,3774,0.23688544184117877,80,TCP,1879,88,1
192.168.175.35,POST,SYN,3508,1.4110310724613622,19,UDP,3292,49,1
192.168.206.81,TCP,SYN,6643,0.749218315032707,70,UDP,1853,83,1
192.168.164.50,GET,SYN,8712,2.7122952495324326,90,UDP,4756,94,1
192.168.104.132,UDP,SYN,7330,3.4302480739494943,62,TCP,2001,76,1
